date,WETH,LDO,WETH_price,LDO_price,WETH_usd_volume,LDO_usd_volume,daily_volume_usd,fees_usd
2023-01-18,9773374.890936852,12785.361714626913,1511.43,1.975,14771772011.408686,25251.089386388154,14771797262.498072,44315391.78749421
2023-01-19,3375743.8116369587,4340.730798643118,1551.09,1.97,5236082468.79197,8551.239673326942,5236091020.031644,15708273.060094932
2023-01-20,5843081.769188062,7865.997517623373,1658.52,2.348,9690867975.833784,18469.36217137968,9690886445.195955,29072659.335587867
2023-01-21,8746285.83097704,12339.143503746365,1626.66,2.396,14227233309.817112,29564.58783497629,14227262874.404947,42681788.62321484
2023-01-22,7415233.84907759,10470.546219898888,1627.44,2.207,12067848175.342833,23108.495507316846,12067871283.83834,36203613.851515025
2023-01-23,10385707.85392888,15651.254328963903,1626.29,2.525,16890172825.765999,39519.417180633856,16890212345.18318,50670637.035549544
2023-01-24,5491113.66859488,8694.368775629728,1555.97,2.374,8544008134.923575,20640.431473344976,8544028775.355049,25632086.32606515
2023-01-25,6135317.938099258,9402.481532284384,1611.94,2.533,9889764397.139717,23816.485721276345,9889788213.625439,29669364.640876316
2023-01-26,3917225.7023249636,5858.033306139841,1601.09,2.33,6271830899.735476,13649.217603305831,6271844548.953079,18815533.64685924
2023-01-27,3053493.827542847,4494.157600242104,1597.62,2.39,4878322808.759003,10741.03666457863,4878333549.795668,14635000.649387004
2023-01-28,1704939.1019535984,2500.337133231017,1572.1,2.24,2680334762.181252,5600.755178437479,2680340362.9364305,8041021.088809292
2023-01-29,2163656.8542784564,3064.0229495538642,1644.72,2.3,3558609701.368863,7047.252783973887,3558616748.621647,10675850.24586494
2023-01-30,3086403.1334423693,4117.949908778031,1566.2,2.071,4833924587.597439,8528.274261079303,4833933115.8717,14501799.3476151
2023-01-31,2461334.1411603536,3330.260477400844,1585.33,2.199,3902026854.005743,7323.242789804456,3902034177.248533,11706102.531745598
2023-02-01,6046484.609200666,8371.525629612479,1641.68,2.307,9926392853.23255,19313.109627515987,9926412166.342176,29779236.49902653
2023-02-02,7225097.73096919,10309.359759268584,1643.12,2.266,11871702583.710094,23361.00921450261,11871725944.719309,35615177.83415793
2023-02-03,4364995.1315935105,6075.177394379266,1663.52,2.355,7261256701.308436,14307.042763763171,7261271008.3512,21783813.0250536
2023-02-04,2966878.3507542503,4054.7208985408597,1666.38,2.21,4943946746.129868,8960.9331857753,4943955707.063053,14831867.12118916
