date,WETH,WBTC,WETH_price,WBTC_price,WETH_usd_volume,WBTC_usd_volume,daily_volume_usd,fees_usd
2023-03-28,1805.11406012,28034.149059107112,1772.99,27261.07,3200449.1774521586,764240899.8907531,767441349.0682054,383720.67453410267
2023-03-29,1949.40424091,30346.48764302725,1793.07,28348.6,3495418.2622484937,860280439.5971222,863775857.8593707,431887.9289296854
2023-03-30,1906.96911352,30193.450811142884,1793.61,28028.53,3420358.8717006072,846278041.8636426,849698400.7353432,424849.2003676716
2023-03-31,1818.0187105,28319.07992342129,1821.52,28465.36,3311557.44154996,806112804.8889595,809424362.3305095,404712.1811652548
2023-04-01,895.89611312,13992.181193591125,1820.79,28452.73,1631238.6838077647,398115753.61232597,399746992.29613376,199873.4961480669
2023-04-02,1001.63779259,15693.097652931056,1794.51,28171.87,1797449.035180681,442103906.9756788,443901356.0108595,221950.67800542974
2023-04-03,2058.26898418,32033.70496303817,1810.51,27800.0,3726516.578547732,890536997.9724611,894263514.5510088,447131.7572755044
2023-04-04,1838.92765097,28013.29136583833,1870.37,28165.47,3439475.110544759,789007517.5657785,792446992.6763233,396223.49633816164
2023-04-05,1971.15286989,29437.625065191925,1908.69,28170.01,3762319.771230344,829258192.4627072,833020512.2339375,416510.25611696875
2023-04-06,829.85520051,12379.769716252082,1872.41,28033.82,1553829.1759869293,347052235.86686194,348606065.0428489,174303.03252142444
2023-04-07,704.03596925,10568.817759051939,1863.72,27906.33,1312125.91661061,294936916.0939639,296249042.0105745,148124.52100528727
2023-04-08,528.68773268,7957.517755034168,1848.82,27938.38,977448.4539334375,222320154.8968915,223297603.35082495,111648.80167541248
2023-04-09,800.43060838,12168.799892403264,1858.92,28323.76,1487936.4665297496,344666167.64045584,346154104.10698557,173077.05205349278
2023-04-10,1314.70559653,20199.515799105873,1910.2,29637.34,2511350.6304916064,598659917.5734725,601171268.2039641,300585.63410198205
2023-04-11,2618.78611655,41124.838663263974,1889.86,30200.42,4949139.130223182,1241987400.0628104,1246936539.1930337,623468.2695965169
2023-04-12,2383.94678022,37786.771826634824,1917.39,29888.07,4570955.716926026,1129373681.4284894,1133944637.1454155,566972.3185727078
2023-04-13,1787.26953389,27513.296931275985,2012.01,30373.84,3596004.174882019,835684478.8630677,839280483.0379498,419640.2415189749
2023-04-14,3966.45346249,58117.75958007339,2099.99,30466.93,8329512.606694374,1770669712.8829255,1778999225.48962,889499.6127448101
2023-04-15,1518.01960949,22027.175966377148,2090.6,30295.09,3173571.795599794,667315278.3472327,670488850.1428325,335244.42507141625
2023-04-16,1507.45809934,21739.619487916087,2118.67,30304.65,3193806.251328678,658811559.7144762,662005365.9658049,331002.68298290245
2023-04-17,1161.11589346,16592.11166220511,2074.0,29430.27,2408154.36303604,488310326.08884513,490718480.4518812,245359.2402259406
2023-04-18,949.0032873,13594.791510534495,2103.5,30380.01,1996228.4148355501,413009902.037953,415006130.4527886,207503.0652263943
2023-04-19,1740.46615648,25525.37284389193,1933.73,28797.1,3365591.6207700707,735056714.3228403,738422305.9436104,369211.15297180525
2023-04-20,1476.68652963,21688.092661020397,1942.98,28243.65,2869172.3933404973,612550898.2854288,615420070.6787692,307710.03533938463
2023-04-21,2432.04206779,35725.65722052917,1848.78,27262.84,4496310.734088796,973982876.6981314,978479187.4322202,489239.5937161101
2023-04-22,750.94617708,11064.139048874047,1874.16,27816.85,1407393.2872362528,307769496.30167204,309176889.5889083,154588.44479445415
2023-04-23,840.08772567,12437.693074706918,1862.0,27590.6,1564243.34519754,343163414.5470087,344727657.89220625,172363.82894610314
2023-04-24,1208.55943191,17963.072297826726,1841.84,27510.93,2225973.104069114,494180824.5704502,496406797.6745193,248203.39883725965
2023-04-25,1542.14582234,23175.908711799828,1866.1,28300.79,2877798.319068674,655896525.5118175,658774323.8308861,329387.1619154431
2023-04-26,3133.71932056,47694.01452758816,1866.01,28415.29,5847551.589358166,1355239254.0656307,1361086805.6549888,680543.4028274944
2023-04-27,2872.47017204,43993.474411243704,1908.68,29472.77,5482626.367969307,1296609552.823471,1302092179.1914403,651046.0895957202
2023-04-28,788.80788212,12171.276551858638,1890.94,29311.7,1491588.376615993,356760806.9051149,358252395.2817309,179126.19764086546
2023-04-29,428.38695962,6601.9644295987455,1907.8,29230.45,817276.641563036,192978391.16116464,193795667.80272767,96897.83390136383
2023-04-30,784.09740318,12107.352789751056,1870.09,29233.21,1466332.7127128863,353936786.6468784,355403119.3595913,177701.55967979567
2023-05-01,1244.30058707,19248.944677472,1830.73,28068.26,2277978.4137666607,540284383.9329003,542562362.3466669,271281.1811733335
2023-05-02,924.96213887,14190.88854046996,1870.08,28669.86,1729753.1966580094,406850787.73087806,408580540.9275361,204290.27046376804
2023-05-03,1213.35056796,18515.52275242065,1905.12,29026.16,2311578.434031955,537434525.8954022,539746104.3294342,269873.0521647171
2023-05-04,607.61579976,9298.617702629466,1877.07,28838.16,1140537.3892555032,268155025.08726096,269295562.4765165,134647.78123825823
2023-05-05,1394.81470408,21060.966520086888,1993.3,29505.61,2780284.149642664,621416664.3647408,624196948.5143836,312098.47425719176
2023-05-06,1765.53813469,26640.865267638248,1896.33,28848.2,3348042.930956688,768541009.4138818,771889052.3448385,385944.52617241925
2023-05-07,530.58202041,8039.368748091901,1870.4,28430.1,992400.6109748641,228560057.44512755,229552458.05610242,114776.22902805121
2023-05-08,1892.83342258,28536.379771771244,1847.56,27668.79,3497123.318221905,789567099.2653865,793064222.5836084,396532.1112918042
2023-05-09,535.57804602,8021.489326458148,1846.52,27628.27,988955.5735368504,221619872.91350386,222608828.4870407,111304.41424352035
2023-05-10,1460.03619347,21880.518294678506,1840.84,27598.75,2687693.026387315,603874954.2852584,606562647.3116457,303281.3236558229
2023-05-11,839.65844271,12639.616384380472,1794.3,26968.62,1506599.143754553,340873011.21613085,342379610.3598854,171189.8051799427
2023-05-12,1635.00683544,24403.10640924382,1807.45,26795.01,2955193.104716028,653881480.2667522,656836673.3714683,328418.33668573416
2023-05-13,834.81339671,12440.181386259228,1795.11,26775.28,1498581.876568088,333089339.867879,334587921.74444705,167293.96087222354
2023-05-14,678.42664941,10106.163540524596,1799.21,26917.62,1220632.0118849662,272033869.84169567,273254501.85358065,136627.25092679032
