date,LDO_price
2023-02-23,2.996
2023-02-24,2.871
2023-02-25,2.929
2023-02-26,3.12
2023-02-27,3.268
2023-02-28,3.003
2023-03-01,3.021
2023-03-02,3.019
2023-03-03,2.82
2023-03-04,2.553
2023-03-05,2.624
2023-03-06,2.59
2023-03-07,2.553
2023-03-08,2.359
2023-03-09,2.28
2023-03-10,2.307
2023-03-11,2.13
2023-03-12,2.45
2023-03-13,2.671
2023-03-14,2.754
2023-03-15,2.299
2023-03-16,2.391
2023-03-17,2.552
2023-03-18,2.476
2023-03-19,2.471
2023-03-20,2.285
2023-03-21,2.406
2023-03-22,2.366
2023-03-23,2.314
2023-03-24,2.142
2023-03-25,2.041
2023-03-26,2.149
2023-03-27,2.101
2023-03-28,2.332
2023-03-29,2.38
2023-03-30,2.33
2023-03-31,2.453
2023-04-01,2.406
2023-04-02,2.337
2023-04-03,2.401
2023-04-04,2.583
2023-04-05,2.595
2023-04-06,2.596
2023-04-07,2.486
2023-04-08,2.384
2023-04-09,2.345
2023-04-10,2.463
2023-04-11,2.329
2023-04-12,2.326
2023-04-13,2.446
2023-04-14,2.627
2023-04-15,2.503
2023-04-16,2.572
2023-04-17,2.492
2023-04-18,2.526
2023-04-19,2.257
2023-04-20,2.139
2023-04-21,2.045
2023-04-22,2.102
2023-04-23,2.077
2023-04-24,2.082
2023-04-25,2.145
2023-04-26,2.063
2023-04-27,2.142
2023-04-28,2.086
2023-04-29,2.102
2023-04-30,2.026
2023-05-01,1.974
2023-05-02,1.991
2023-05-03,2.024
2023-05-04,1.897
2023-05-05,1.934
2023-05-06,1.842
2023-05-07,1.828
2023-05-08,1.828
2023-05-09,1.846
2023-05-10,1.873
2023-05-11,1.649
2023-05-12,1.904
2023-05-13,1.879
2023-05-14,1.927
2023-05-15,2.121
2023-05-16,2.211
2023-05-17,2.36
2023-05-18,2.133
2023-05-19,2.175
2023-05-20,2.149
2023-05-21,2.069
2023-05-22,2.027
2023-05-23,2.04
2023-05-24,2.052
2023-05-25,2.012
2023-05-26,1.99
2023-05-27,1.973
2023-05-28,2.097
2023-05-29,2.181
2023-05-30,2.156
2023-05-31,2.092
2023-06-01,2.082
2023-06-02,2.303
2023-06-03,2.308
2023-06-04,2.273
2023-06-05,2.209
2023-06-06,2.406
2023-06-07,2.273
2023-06-08,2.154
2023-06-09,2.157
2023-06-10,1.813
2023-06-11,1.828
2023-06-12,1.792
2023-06-13,1.776
2023-06-14,1.681
2023-06-15,1.684
2023-06-16,1.754
2023-06-17,1.791
2023-06-18,1.713
2023-06-19,1.774
2023-06-20,1.859
2023-06-21,1.957
2023-06-22,1.889
2023-06-23,1.931
2023-06-24,1.83
2023-06-25,1.936
2023-06-26,1.924
2023-06-27,1.955
2023-06-28,1.856
2023-06-29,1.875
2023-06-30,2.053
2023-07-01,2.137
2023-07-02,2.124
2023-07-03,2.238
2023-07-04,2.149
2023-07-05,2.065
2023-07-06,1.913
2023-07-07,1.933
2023-07-08,1.955
2023-07-09,1.924
2023-07-10,1.958
2023-07-11,1.914
2023-07-12,1.883
2023-07-13,2.289
2023-07-14,2.349
2023-07-15,2.312
2023-07-16,2.176
2023-07-17,2.06
2023-07-18,2.031
2023-07-19,2.081
2023-07-20,2.056
2023-07-21,2.022
2023-07-22,1.996
2023-07-23,2.046
2023-07-24,1.979
2023-07-25,1.956
2023-07-26,1.927
2023-07-27,1.916
2023-07-28,1.928
2023-07-29,1.947
2023-07-30,1.893
2023-07-31,1.846
2023-08-01,1.946
2023-08-02,1.853
2023-08-03,1.865
2023-08-04,1.836
2023-08-05,1.852
2023-08-06,1.832
2023-08-07,1.845
2023-08-08,1.858
2023-08-09,1.887
2023-08-10,1.861
2023-08-11,1.858
2023-08-12,1.841
2023-08-13,1.818
2023-08-14,1.848
2023-08-15,1.731
2023-08-16,1.696
2023-08-17,1.624
2023-08-18,1.634
2023-08-19,1.65
2023-08-20,1.671
2023-08-21,1.622
2023-08-22,1.632
2023-08-23,1.689
2023-08-24,1.638
2023-08-25,1.557
2023-08-26,1.599
2023-08-27,1.589
2023-08-28,1.58
2023-08-29,1.674
2023-08-30,1.639
2023-08-31,1.563
2023-09-01,1.531
2023-09-02,1.527
2023-09-03,1.526
2023-09-04,1.552
2023-09-05,1.569
2023-09-06,1.578
2023-09-07,1.604
2023-09-08,1.542
2023-09-09,1.532
2023-09-10,1.482
2023-09-11,1.451
2023-09-12,1.464
2023-09-13,1.486
2023-09-14,1.5
2023-09-15,1.531
2023-09-16,1.535
2023-09-17,1.51
2023-09-18,1.546
2023-09-19,1.575
2023-09-20,1.565
2023-09-21,1.482
2023-09-22,1.492
2023-09-23,1.497
2023-09-24,1.465
2023-09-25,1.474
2023-09-26,1.465
2023-09-27,1.472
2023-09-28,1.6
2023-09-29,1.637
2023-09-30,1.71
2023-10-01,1.695
2023-10-02,1.564
2023-10-03,1.573
2023-10-04,1.586
2023-10-05,1.532
2023-10-06,1.562
2023-10-07,1.568
2023-10-08,1.592
2023-10-09,1.526
2023-10-10,1.541
2023-10-11,1.525
2023-10-12,1.504
2023-10-13,1.561
2023-10-14,1.598
2023-10-15,1.607
2023-10-16,1.6
2023-10-17,1.545
2023-10-18,1.492
2023-10-19,1.472
2023-10-20,1.534
2023-10-21,1.637
2023-10-22,1.717
2023-10-23,1.795
2023-10-24,1.848
2023-10-25,1.875
2023-10-26,1.854
2023-10-27,1.818
2023-10-28,1.785
2023-10-29,1.825
2023-10-30,1.839
2023-10-31,1.828
2023-11-01,1.882
2023-11-02,1.756
2023-11-03,1.927
2023-11-04,2.033
2023-11-05,2.017
2023-11-06,2.022
2023-11-07,1.964
2023-11-08,1.949
2023-11-09,2.322
2023-11-10,2.296
2023-11-11,2.242
2023-11-12,2.27
2023-11-13,2.226
2023-11-14,2.365
2023-11-15,2.447
2023-11-16,2.254
2023-11-17,2.214
2023-11-18,2.246
2023-11-19,2.373
2023-11-20,2.418
2023-11-21,2.207
2023-11-22,2.615
2023-11-23,2.478
2023-11-24,2.498
2023-11-25,2.5
2023-11-26,2.497
2023-11-27,2.364
2023-11-28,2.338
2023-11-29,2.261
2023-11-30,2.355
2023-12-01,2.389
2023-12-02,2.428
2023-12-03,2.431
2023-12-04,2.387
2023-12-05,2.402
2023-12-06,2.265
2023-12-07,2.507
2023-12-08,2.446
2023-12-09,2.342
2023-12-10,2.388
2023-12-11,2.259
2023-12-12,2.23
2023-12-13,2.309
2023-12-14,2.358
2023-12-15,2.133
2023-12-16,2.166
2023-12-17,2.082
2023-12-18,2.134
2023-12-19,2.051
2023-12-20,2.102
2023-12-21,2.156
2023-12-22,2.437
